data,descricao,valor,categoria,dia_semana,semana_do_mes,mes
2024-01-01,Hortifruti Verde,419.61,alimentação,Monday,1,1
2024-01-01,iFood - McDonald's,70.35,delivery,Monday,1,1
2024-01-01,iFood - Frango Assado,45.73,delivery,Monday,1,1
2024-01-02,Boate Floresta,42.98,lazer,Tuesday,1,1
2024-01-03,iFood - Frango Assado,50.32,delivery,Wednesday,1,1
2024-01-04,Posto Shell,144.26,transporte,Thursday,1,1
2024-01-06,Amazon Livros,87.87,educação,Saturday,1,1
2024-01-07,Magazine Luiza,360.77,casa,Sunday,1,1
2024-01-07,Uber,178.63,transporte,Sunday,1,1
2024-01-07,iFood - Pizza Hut,45.61,delivery,Sunday,1,1
2024-01-07,Rappi - Açaí Brasil,45.69,delivery,Sunday,1,1
2024-01-08,Mercado Extra,218.86,alimentação,Monday,2,1
2024-01-08,Cinema Show,108.79,lazer,Monday,2,1
2024-01-08,Rappi - Burger King,20.5,delivery,Monday,2,1
2024-01-09,Hering Store,63.8,vestuário,Tuesday,2,1
2024-01-09,Mercado Extra,171.7,alimentação,Tuesday,2,1
2024-01-10,Cinemark BH,37.27,lazer,Wednesday,2,1
2024-01-11,iFood - Sushi Now,26.75,delivery,Thursday,2,1
2024-01-12,Uber,81.91,transporte,Friday,2,1
2024-01-13,Posto Shell,95.97,transporte,Saturday,2,1
2024-01-13,Posto Shell,122.7,transporte,Saturday,2,1
2024-01-14,iFood - McDonald's,86.58,delivery,Sunday,2,1
2024-01-17,iFood - Frango Assado,65.85,delivery,Wednesday,3,1
2024-01-18,Uber,140.83,transporte,Thursday,3,1
2024-01-18,Rappi - Burger King,16.73,delivery,Thursday,3,1
2024-01-18,Posto Shell,175.54,transporte,Thursday,3,1
2024-01-19,Spotify,144.83,lazer,Friday,3,1
2024-01-19,iFood - Sushi Now,78.76,delivery,Friday,3,1
2024-01-20,Uber,98.22,transporte,Saturday,3,1
2024-01-21,Rappi - Açaí Brasil,59.84,delivery,Sunday,3,1
2024-01-23,Rappi - Burger King,36.84,delivery,Tuesday,4,1
2024-01-23,Cinemark BH,79.53,lazer,Tuesday,4,1
2024-01-24,99 Taxi,96.15,transporte,Wednesday,4,1
2024-01-24,Supermercado BH,271.38,alimentação,Wednesday,4,1
2024-01-24,iFood - Frango Assado,50.32,delivery,Wednesday,4,1
2024-01-25,iFood - Pizza Hut,61.28,delivery,Thursday,4,1
2024-01-26,Posto Shell,161.77,transporte,Friday,4,1
2024-01-26,iFood - McDonald's,62.54,delivery,Friday,4,1
2024-01-27,Amazon Livros,26.87,educação,Saturday,4,1
2024-01-28,Farmácia Araújo,166.71,saúde,Sunday,4,1
2024-01-28,Netflix,129.67,lazer,Sunday,4,1
2024-02-01,Boate Floresta,108.77,lazer,Thursday,1,2
2024-02-03,Posto Shell,117.12,transporte,Saturday,1,2
2024-02-03,iFood - Pizza Hut,74.63,delivery,Saturday,1,2
2024-02-03,99 Taxi,181.52,transporte,Saturday,1,2
2024-02-04,Clínica Saúde Total,157.34,saúde,Sunday,1,2
2024-02-05,Estacionamento Central,174.81,transporte,Monday,1,2
2024-02-05,Posto Ipiranga,173.23,transporte,Monday,1,2
2024-02-05,Uber,139.92,transporte,Monday,1,2
2024-02-06,Estacionamento Central,122.45,transporte,Tuesday,1,2
2024-02-06,Padaria Central,182.58,alimentação,Tuesday,1,2
2024-02-06,Açougue do João,346.12,alimentação,Tuesday,1,2
2024-02-06,Hering Store,31.68,vestuário,Tuesday,1,2
2024-02-08,Rappi - Açaí Brasil,76.14,delivery,Thursday,2,2
2024-02-08,Posto Ipiranga,198.25,transporte,Thursday,2,2
2024-02-08,iFood - McDonald's,19.74,delivery,Thursday,2,2
2024-02-09,Rappi - Açaí Brasil,73.09,delivery,Friday,2,2
2024-02-11,iFood - McDonald's,61.87,delivery,Sunday,2,2
2024-02-11,iFood - Pizza Hut,75.62,delivery,Sunday,2,2
2024-02-13,iFood - Sushi Now,47.3,delivery,Tuesday,2,2
2024-02-13,Rappi - Açaí Brasil,38.22,delivery,Tuesday,2,2
2024-02-13,Uber,93.8,transporte,Tuesday,2,2
2024-02-14,BHBUS Recarga,174.79,transporte,Wednesday,2,2
2024-02-14,BHBUS Recarga,98.47,transporte,Wednesday,2,2
2024-02-17,Netflix,296.48,lazer,Saturday,3,2
2024-02-17,99 Taxi,174.25,transporte,Saturday,3,2
2024-02-17,Casas Bahia,303.57,casa,Saturday,3,2
2024-02-18,Uber,100.83,transporte,Sunday,3,2
2024-02-18,Cinema Show,25.72,lazer,Sunday,3,2
2024-02-19,Rappi - Açaí Brasil,67.23,delivery,Monday,3,2
2024-02-20,Hortifruti Verde,190.28,alimentação,Tuesday,3,2
2024-02-20,Steam Store,78.75,lazer,Tuesday,3,2
2024-02-21,Rappi - Burger King,73.63,delivery,Wednesday,3,2
2024-02-23,iFood - Frango Assado,82.42,delivery,Friday,4,2
2024-02-24,Magazine Luiza,217.05,casa,Saturday,4,2
2024-02-24,Mercado Extra,161.93,alimentação,Saturday,4,2
2024-02-24,BHBUS Recarga,112.57,transporte,Saturday,4,2
2024-02-24,BHBUS Recarga,159.02,transporte,Saturday,4,2
2024-02-24,Cinemark BH,182.7,lazer,Saturday,4,2
2024-02-25,Clínica Saúde Total,126.08,saúde,Sunday,4,2
2024-02-26,iFood - Sushi Now,61.48,delivery,Monday,4,2
2024-02-28,Posto Shell,208.18,transporte,Wednesday,4,2
2024-03-01,Nike Store,40.97,vestuário,Friday,1,3
2024-03-01,Açougue do João,296.43,alimentação,Friday,1,3
2024-03-03,iFood - McDonald's,47.16,delivery,Sunday,1,3
2024-03-04,Hortifruti Verde,537.35,alimentação,Monday,1,3
2024-03-04,iFood - Sushi Now,56.94,delivery,Monday,1,3
2024-03-05,Estacionamento Central,156.27,transporte,Tuesday,1,3
2024-03-06,Uber,82.4,transporte,Wednesday,1,3
2024-03-07,Mercado Extra,299.79,alimentação,Thursday,1,3
2024-03-08,Coursera,78.94,educação,Friday,2,3
2024-03-08,iFood - Frango Assado,87.2,delivery,Friday,2,3
2024-03-08,Farmácia Araújo,144.04,saúde,Friday,2,3
2024-03-08,Udemy,82.41,educação,Friday,2,3
2024-03-08,iFood - McDonald's,73.73,delivery,Friday,2,3
2024-03-10,Hortifruti Verde,148.9,alimentação,Sunday,2,3
2024-03-11,Padaria Central,210.8,alimentação,Monday,2,3
2024-03-12,Mercado Extra,234.92,alimentação,Tuesday,2,3
2024-03-13,Boate Floresta,94.14,lazer,Wednesday,2,3
2024-03-14,Posto Ipiranga,138.18,transporte,Thursday,2,3
2024-03-15,Cinemark BH,89.01,lazer,Friday,3,3
2024-03-15,Bar do Zé,86.11,lazer,Friday,3,3
2024-03-16,BHBUS Recarga,110.62,transporte,Saturday,3,3
2024-03-17,BHBUS Recarga,103.17,transporte,Sunday,3,3
2024-03-17,Açougue do João,131.49,alimentação,Sunday,3,3
2024-03-18,Açougue do João,199.73,alimentação,Monday,3,3
2024-03-18,Estacionamento Central,114.28,transporte,Monday,3,3
2024-03-21,Netflix,146.02,lazer,Thursday,3,3
2024-03-23,Posto Ipiranga,113.55,transporte,Saturday,4,3
2024-03-24,Rappi - Burger King,25.73,delivery,Sunday,4,3
2024-03-25,BHBUS Recarga,171.4,transporte,Monday,4,3
2024-03-25,Posto Ipiranga,169.57,transporte,Monday,4,3
2024-03-27,iFood - Sushi Now,74.37,delivery,Wednesday,4,3
2024-04-01,Livraria Cultura,27.18,educação,Monday,1,4
2024-04-02,Atacadão,336.92,alimentação,Tuesday,1,4
2024-04-02,Rappi - Açaí Brasil,56.99,delivery,Tuesday,1,4
2024-04-03,Açougue do João,396.19,alimentação,Wednesday,1,4
2024-04-03,Posto Ipiranga,165.6,transporte,Wednesday,1,4
2024-04-04,Posto Shell,167.83,transporte,Thursday,1,4
2024-04-04,iFood - McDonald's,23.99,delivery,Thursday,1,4
2024-04-04,Rappi - Açaí Brasil,66.74,delivery,Thursday,1,4
2024-04-05,99 Taxi,236.6,transporte,Friday,1,4
2024-04-06,Uber,88.67,transporte,Saturday,1,4
2024-04-07,iFood - McDonald's,26.96,delivery,Sunday,1,4
2024-04-07,Posto Ipiranga,138.94,transporte,Sunday,1,4
2024-04-08,Rappi - Burger King,36.81,delivery,Monday,2,4
2024-04-08,Atacadão,177.92,alimentação,Monday,2,4
2024-04-08,Supermercado BH,327.79,alimentação,Monday,2,4
2024-04-11,iFood - McDonald's,33.75,delivery,Thursday,2,4
2024-04-13,Rappi - Açaí Brasil,101.47,delivery,Saturday,2,4
2024-04-14,Steam Store,196.01,lazer,Sunday,2,4
2024-04-14,Rappi - Burger King,35.19,delivery,Sunday,2,4
2024-04-14,iFood - Sushi Now,98.81,delivery,Sunday,2,4
2024-04-15,Posto Ipiranga,139.25,transporte,Monday,3,4
2024-04-15,BHBUS Recarga,92.0,transporte,Monday,3,4
2024-04-15,Rappi - Açaí Brasil,43.67,delivery,Monday,3,4
2024-04-16,iFood - Pizza Hut,31.63,delivery,Tuesday,3,4
2024-04-16,Spotify,107.36,lazer,Tuesday,3,4
2024-04-18,99 Taxi,108.19,transporte,Thursday,3,4
2024-04-18,iFood - Pizza Hut,77.86,delivery,Thursday,3,4
2024-04-19,Rappi - Burger King,127.48,delivery,Friday,3,4
2024-04-21,Rappi - Açaí Brasil,44.93,delivery,Sunday,3,4
2024-04-21,BHBUS Recarga,172.29,transporte,Sunday,3,4
2024-04-24,iFood - Frango Assado,70.04,delivery,Wednesday,4,4
2024-04-26,Tok&Stok,328.29,casa,Friday,4,4
2024-04-26,Rappi - Burger King,149.5,delivery,Friday,4,4
2024-04-27,Posto Shell,55.7,transporte,Saturday,4,4
2024-04-28,Steam Store,80.75,lazer,Sunday,4,4
2024-04-28,Posto Shell,152.54,transporte,Sunday,4,4
2024-05-02,Rappi - Açaí Brasil,92.32,delivery,Thursday,1,5
2024-05-02,iFood - Frango Assado,31.17,delivery,Thursday,1,5
2024-05-03,Rappi - Açaí Brasil,113.86,delivery,Friday,1,5
2024-05-03,iFood - Frango Assado,133.68,delivery,Friday,1,5
2024-05-06,iFood - McDonald's,70.74,delivery,Monday,1,5
2024-05-07,Atacadão,387.87,alimentação,Tuesday,1,5
2024-05-07,Supermercado BH,395.17,alimentação,Tuesday,1,5
2024-05-09,99 Taxi,231.58,transporte,Thursday,2,5
2024-05-09,Posto Ipiranga,170.39,transporte,Thursday,2,5
2024-05-10,Steam Store,175.21,lazer,Friday,2,5
2024-05-11,Cinema Show,224.18,lazer,Saturday,2,5
2024-05-11,Posto Ipiranga,120.52,transporte,Saturday,2,5
2024-05-11,iFood - McDonald's,116.06,delivery,Saturday,2,5
2024-05-13,iFood - McDonald's,92.94,delivery,Monday,2,5
2024-05-14,Hortifruti Verde,197.82,alimentação,Tuesday,2,5
2024-05-14,Estacionamento Central,113.58,transporte,Tuesday,2,5
2024-05-16,iFood - Frango Assado,68.13,delivery,Thursday,3,5
2024-05-16,Mercado Extra,139.2,alimentação,Thursday,3,5
2024-05-17,iFood - McDonald's,140.71,delivery,Friday,3,5
2024-05-17,Uber,173.74,transporte,Friday,3,5
2024-05-19,iFood - Pizza Hut,50.09,delivery,Sunday,3,5
2024-05-19,iFood - Frango Assado,39.93,delivery,Sunday,3,5
2024-05-19,BHBUS Recarga,116.92,transporte,Sunday,3,5
2024-05-20,Coursera,45.71,educação,Monday,3,5
2024-05-20,Posto Shell,109.75,transporte,Monday,3,5
2024-05-22,Boate Floresta,70.74,lazer,Wednesday,4,5
2024-05-22,Hortifruti Verde,200.79,alimentação,Wednesday,4,5
2024-05-22,Estacionamento Central,199.01,transporte,Wednesday,4,5
2024-05-24,iFood - Frango Assado,73.28,delivery,Friday,4,5
2024-05-24,Açougue do João,195.03,alimentação,Friday,4,5
2024-05-28,iFood - Pizza Hut,71.44,delivery,Tuesday,4,5
2024-05-28,iFood - Pizza Hut,38.59,delivery,Tuesday,4,5
2024-05-28,iFood - Frango Assado,35.51,delivery,Tuesday,4,5
2024-06-02,Posto Shell,140.6,transporte,Sunday,1,6
2024-06-02,Magazine Luiza,347.71,casa,Sunday,1,6
2024-06-03,Mercado Extra,445.68,alimentação,Monday,1,6
