data,descricao,valor,categoria
2024-01-01,Hortifruti Verde,419.61,alimentação
2024-01-01,iFood - McDonald's,70.35,delivery
2024-01-01,iFood - Frango Assado,45.73,delivery
2024-01-02,Boate Floresta,42.98,lazer
2024-01-03,iFood - Frango Assado,50.32,delivery
2024-01-04,Posto Shell,144.26,transporte
2024-01-06,Amazon Livros,87.87,educação
2024-01-07,Magazine Luiza,360.77,outros
2024-01-07,Uber,178.63,transporte
2024-01-07,iFood - Pizza Hut,45.61,delivery
2024-01-07,Rappi - Açaí Brasil,45.69,delivery
2024-01-08,Mercado Extra,218.86,alimentação
2024-01-08,Cinema Show,108.79,lazer
2024-01-08,Rappi - Burger King,20.5,vestuário
2024-01-09,Hering Store,63.8,alimentação
2024-01-09,Mercado Extra,171.7,alimentação
2024-01-10,Cinemark BH,37.27,lazer
2024-01-11,iFood - Sushi Now,26.75,delivery
2024-01-12,Uber,81.91,transporte
2024-01-13,Posto Shell,95.97,outros
2024-01-13,Posto Shell,122.7,transporte
2024-01-14,iFood - McDonald's,86.58,delivery
2024-01-17,iFood - Frango Assado,65.85,delivery
2024-01-18,Uber,140.83,transporte
2024-01-18,Rappi - Burger King,16.73,delivery
2024-01-18,Posto Shell,175.54,transporte
2024-01-19,Spotify,144.83,lazer
2024-01-19,iFood - Sushi Now,78.76,delivery
2024-01-20,Uber,98.22,transporte
2024-01-21,Rappi - Açaí Brasil,59.84,lazer
2024-01-23,Rappi - Burger King,36.84,delivery
2024-01-23,Cinemark BH,79.53,lazer
2024-01-24,99 Taxi,96.15,transporte
2024-01-24,Supermercado BH,271.38,alimentação
2024-01-24,iFood - Frango Assado,50.32,alimentação
2024-01-25,iFood - Pizza Hut,61.28,delivery
2024-01-26,Posto Shell,161.77,outros
2024-01-26,iFood - McDonald's,62.54,delivery
2024-01-27,Amazon Livros,26.87,educação
2024-01-28,Farmácia Araújo,166.71,saúde
2024-01-28,Netflix,129.67,lazer
2024-02-01,Boate Floresta,108.77,lazer
2024-02-03,Posto Shell,117.12,transporte
2024-02-03,iFood - Pizza Hut,74.63,delivery
2024-02-03,99 Taxi,181.52,transporte
2024-02-04,Clínica Saúde Total,157.34,saúde
2024-02-05,Estacionamento Central,174.81,transporte
2024-02-05,Posto Ipiranga,173.23,transporte
2024-02-05,Uber,139.92,transporte
2024-02-06,Estacionamento Central,122.45,transporte
2024-02-06,Padaria Central,182.58,alimentação
2024-02-06,Açougue do João,346.12,alimentação
2024-02-06,Hering Store,31.68,vestuário
2024-02-08,Rappi - Açaí Brasil,76.14,lazer
2024-02-08,Posto Ipiranga,198.25,transporte
2024-02-08,iFood - McDonald's,19.74,alimentação
2024-02-09,Rappi - Açaí Brasil,73.09,lazer
2024-02-11,iFood - McDonald's,61.87,alimentação
2024-02-11,iFood - Pizza Hut,75.62,alimentação
2024-02-13,iFood - Sushi Now,47.3,alimentação
2024-02-13,Rappi - Açaí Brasil,38.22,delivery
2024-02-13,Uber,93.8,transporte
2024-02-14,BHBUS Recarga,174.79,outros
2024-02-14,BHBUS Recarga,98.47,lazer
2024-02-17,Netflix,296.48,transporte
2024-02-17,99 Taxi,174.25,outros
2024-02-17,Casas Bahia,303.57,casa
2024-02-18,Uber,100.83,transporte
2024-02-18,Cinema Show,25.72,lazer
2024-02-19,Rappi - Açaí Brasil,67.23,delivery
2024-02-20,Hortifruti Verde,190.28,alimentação
2024-02-20,Steam Store,78.75,lazer
2024-02-21,Rappi - Burger King,73.63,delivery
2024-02-23,iFood - Frango Assado,82.42,outros
2024-02-24,Magazine Luiza,217.05,outros
2024-02-24,Mercado Extra,161.93,outros
2024-02-24,BHBUS Recarga,112.57,transporte
2024-02-24,BHBUS Recarga,159.02,transporte
2024-02-24,Cinemark BH,182.7,lazer
2024-02-25,Clínica Saúde Total,126.08,saúde
2024-02-26,iFood - Sushi Now,61.48,delivery
2024-02-28,Posto Shell,208.18,transporte
2024-03-01,Nike Store,40.97,vestuário
2024-03-01,Açougue do João,296.43,alimentação
2024-03-03,iFood - McDonald's,47.16,alimentação
2024-03-04,Hortifruti Verde,537.35,alimentação
2024-03-04,iFood - Sushi Now,56.94,delivery
2024-03-05,Estacionamento Central,156.27,transporte
2024-03-06,Uber,82.4,transporte
2024-03-07,Mercado Extra,299.79,outros
2024-03-08,Coursera,78.94,educação
2024-03-08,iFood - Frango Assado,87.2,delivery
2024-03-08,Farmácia Araújo,144.04,saúde
2024-03-08,Udemy,82.41,educação
2024-03-08,iFood - McDonald's,73.73,delivery
